Transform: AffineTransform,  Size: (1, 64, 64, 64), FirstRun: 0.044, Average: 0.040, Iterations: 100, maximum: 0.046 
Transform: AffineTransform,  Size: (1, 128, 128, 128), FirstRun: 0.343, Average: 0.328, Iterations: 100, maximum: 0.346 
Transform: AffineTransform,  Size: (1, 256, 256, 256), FirstRun: 3.088, Average: 3.035, Iterations: 100, maximum: 3.110 
Transform: AffineTransform,  Size: (1, 512, 512, 64), FirstRun: 2.637, Average: 2.633, Iterations: 100, maximum: 2.737 
Transform: AffineTransform,  Size: (1, 64, 64, 64), FirstRun: 0.050, Average: 0.042, Iterations: 100, maximum: 0.050 
Transform: AffineTransform,  Size: (1, 128, 128, 128), FirstRun: 0.346, Average: 0.339, Iterations: 100, maximum: 0.352 
Transform: AffineTransform,  Size: (1, 256, 256, 256), FirstRun: 3.607, Average: 3.613, Iterations: 100, maximum: 3.689 
Transform: AffineTransform,  Size: (1, 512, 512, 64), FirstRun: 2.950, Average: 2.756, Iterations: 100, maximum: 3.321 
Transform: Flip,  Size: (1, 64, 64, 64), FirstRun: 0.007, Average: 0.001, Iterations: 100, maximum: 0.002 
Transform: Flip,  Size: (1, 128, 128, 128), FirstRun: 0.005, Average: 0.006, Iterations: 100, maximum: 0.007 
Transform: Flip,  Size: (1, 256, 256, 256), FirstRun: 0.050, Average: 0.059, Iterations: 100, maximum: 0.066 
Transform: Flip,  Size: (1, 512, 512, 64), FirstRun: 0.058, Average: 0.060, Iterations: 100, maximum: 0.068 
Transform: GaussianBlur,  Size: (1, 64, 64, 64), FirstRun: 0.009, Average: 0.001, Iterations: 100, maximum: 0.002 
Transform: GaussianBlur,  Size: (1, 128, 128, 128), FirstRun: 0.005, Average: 0.006, Iterations: 100, maximum: 0.007 
Transform: GaussianBlur,  Size: (1, 256, 256, 256), FirstRun: 0.045, Average: 0.053, Iterations: 100, maximum: 0.060 
Transform: GaussianBlur,  Size: (1, 512, 512, 64), FirstRun: 0.052, Average: 0.054, Iterations: 100, maximum: 0.060 
Transform: GaussianNoise,  Size: (1, 64, 64, 64), FirstRun: 0.016, Average: 0.008, Iterations: 100, maximum: 0.009 
Transform: GaussianNoise,  Size: (1, 128, 128, 128), FirstRun: 0.059, Average: 0.061, Iterations: 100, maximum: 0.062 
Transform: GaussianNoise,  Size: (1, 256, 256, 256), FirstRun: 0.479, Average: 0.497, Iterations: 100, maximum: 0.510 
Transform: GaussianNoise,  Size: (1, 512, 512, 64), FirstRun: 0.495, Average: 0.498, Iterations: 100, maximum: 0.529 
Transform: HistogramEqualization,  Size: (1, 64, 64, 64), FirstRun: 0.068, Average: 0.016, Iterations: 100, maximum: 0.017 
